#Name Omega0 sigma8 WindEnergyIn1e51erg RadioFeedbackFactor VariableWindVelFactor RadioFeedbackReiorientationFactor OmegaBaryon HubbleParam n_s MaxSfrTimescale FactorForSofterEQS IMFslope SNII_MinMass_Msun ThermalWindFraction VariableWindSpecMomentum WindFreeTravelDensFac MinWindVel WindEnergyReductionFactor WindEnergyReductionMetallicity WindEnergyReductionExponent WindDumpFactor SeedBlackHoleMass BlackHoleAccretionFactor BlackHoleEddingtonFactor BlackHoleFeedbackFactor BlackHoleRadiativeEfficiency QuasarThreshold QuasarThresholdPower UVBH0beta UVBH0Deltaz UVBHepbeta UVBHepDeltaz SNIa_Rate_Norm SNIa_Rate_DTD_power SofteningComovingType01 seed
   SB35_45 0.25858 0.767 2.469 2.8157 9.1582 11.558 0.042329 0.66989 1.0755 2.2407 0.11829 -1.9476 10.133 0.044842 3039.6 0.0085807 189.16 0.70522 0.0010434 2.3336 0.41572 7.6923e-05 2.9928 0.74049 0.028137 0.62274 0.00098701 0.23608 5.0489 -3.1495 1.7084 -0.3069 0.0012815 1.1035 1.2579 25045
   SB35_46 0.15784 0.96775 5.1195 0.79568 11.202 15.954 0.064058 0.47238 0.98412 1.4208 0.17759 -2.2797 7.8403 0.30442 2810.6 0.23346 272.18 0.16508 0.00072392 1.9081 0.73906 4.2083e-05 0.65879 3.7697 0.22008 0.2059 0.025463 1.9044 0.78139 -4.5682 0.83491 -0.73429 0.0017364 0.93568 1.956 25046
   SB35_47 0.4568 0.62278 1.5295 1.0273 6.0719 21.843 0.031603 0.85336 0.76624 4.0535 0.763 -2.5664 8.7014 0.06114 898.19 0.016107 463.63 0.26725 0.0069114 2.9595 0.29485 0.00025178 1.7047 0.29242 0.067922 0.13082 0.00025822 2.2614 3.0367 -0.47811 3.155 -0.0076752 0.0010422 1.2492 3.0544 25047
   SB35_48 0.46482 0.96011 12.135 0.28874 8.5288 11.235 0.039991 0.49095 0.8601 1.602 0.70623 -2.3338 4.9548 0.079502 2043.1 0.080554 508.46 0.91858 0.00092945 1.5104 0.53511 0.00016117 1.8778 0.64735 0.10473 0.27575 0.00015907 2.3859 6.8284 -3.4335 0.50931 -0.39517 0.00088853 0.97383 2.8719 25048
   SB35_49 0.16273 0.60581 2.5533 3.0129 3.9862 31.429 0.057536 0.85978 1.0391 4.486 0.19517 -2.0122 11.566 0.2784 130.45 0.0064522 306.06 0.096046 0.0062644 2.6221 0.87845 2.7925e-05 0.6083 1.4773 0.030004 0.10878 0.01413 1.7799 1.3298 -1.8425 2.1101 -0.87166 0.0015267 1.3212 1.9051 25049
   SB35_50 0.26308 0.80319 4.9774 0.59877 6.4306 23.722 0.029576 0.68228 1.1446 2.8367 0.12778 -2.2114 6.398 0.028996 1893.7 0.17457 232.6 0.36034 0.0021969 1.1342 0.3512 4.9131e-05 3.3041 0.25129 0.24541 0.082034 0.0014429 0.11058 4.4072 -0.44804 0.33433 -0.16528 0.0010993 1.1234 1.2318 25050
   SB35_51 0.36407 0.76214 1.043 1.8388 13.711 16.237 0.067012 0.65135 0.95463 2.0288 0.46365 -2.6425 9.0056 0.18725 3807.3 0.021538 428.66 0.24537 0.0013109 2.2489 0.60709 9.1363e-05 0.26802 3.2404 0.053633 0.73234 0.0040014 3.7232 0.53846 -4.5201 1.408 -0.56352 0.0013437 1.046 2.2207 25051
   SB35_52 0.31191 0.8811 2.3274 1.4142 12.149 13.424 0.037574 0.72668 1.0674 3.6409 0.15823 -2.6967 7.2768 0.39147 3197.5 0.028174 369.85 0.15468 0.0028403 1.8459 0.44227 0.00021863 2.5911 9.3253 0.092739 0.052524 0.00056551 1.479 5.5331 -2.978 0.37631 -0.28026 0.0015132 1.2111 1.5448 25052
   SB35_53 0.21055 0.73462 7.8347 0.91109 5.5985 36.759 0.059951 0.60845 0.88215 1.2741 0.37945 -2.1572 8.1339 0.055931 1097.2 0.40802 165.97 0.28527 0.0016857 2.7712 0.99885 3.6553e-05 0.49932 0.1298 0.3277 0.55917 0.0099544 2.8749 1.9889 -2.0684 1.4221 -0.991 0.0012655 1.0783 3.4671 25053
   SB35_54 0.11051 0.93688 1.6938 2.0458 4.5864 27.769 0.046973 0.53369 0.77668 1.6201 0.56693 -1.8174 5.8412 0.13164 864.29 0.015563 295.34 0.069845 0.00060739 1.4705 0.2714 6.6816e-05  1.04 2.0896 0.041894 0.35359 6.4816e-05 3.0161 2.7793 -0.64965 0.98552 -0.034562 0.0016962 0.8861 2.6521 25054
