#Name Omega_m    sigma_8    A_SN1      A_AGN1     A_SN2      A_AGN2   Omega_b    seed
SB7_263 0.10599200 0.68854100 0.86386000 0.52553000 0.55126700 0.662679 0.04442200 12263
SB7_264 0.12946000 0.93531900 0.35298300 1.24557900 0.65252000 1.195777 0.06198600 12264
SB7_265 0.39885800 0.67036800 1.44760400 0.85733400 1.82027200 0.305008 0.02161400 12265
SB7_266 0.41844600 0.80586300 0.74222000 0.37161500 1.10822200 2.011833 0.07496100 12266
SB7_267 0.25986600 0.78800700 2.63702700 2.02370500 0.75991100 0.512804 0.03396300 12267
SB7_268 0.20562100 0.63339500 3.02029500 3.10717400 0.53428500 3.403283 0.08515800 12268
SB7_269 0.47192000 0.97312100 0.67670300 0.28821900 1.57206300 0.876178 0.04623200 12269
SB7_270 0.34148900 0.70003400 1.37918900 0.65157300 1.29637400 1.431313 0.05781900 12270
SB7_271 0.18605800 0.89310300 0.35477400 1.95693800 0.91876000 0.368251 0.01826700 12271
SB7_272 0.18918400 0.65734000 2.10448300 0.45659400 1.66609800 0.722235 0.05572800 12272
SB7_273 0.33211400 0.94864000 0.93004900 2.43237500 0.50529300 2.927100 0.01535800 12273
