# Name Omega_m, sigma_8 ASN1 AAGN1 ASN2 AAGN2 Omega_b seed
SB7_207 0.17903 0.83028 1.64621 0.67786 1.58557 0.57629 0.049974 12207
SB7_208 0.19465 0.61917 0.56260 2.55118 0.97329 0.80549 0.087435 12208
SB7_209 0.32662 0.98725 3.63251 0.43888 1.21992 1.63522 0.046479 12209
SB7_210 0.45860 0.73925 0.42625 0.75991 1.61760 0.52222 0.059470 12210
SB7_211 0.21269 0.85399 1.14780 1.03483 0.52043 1.06052 0.019140 12211
SB7_212 0.27163 0.92423 1.74108 1.58578 0.73081 0.68302 0.060333 12212
SB7_213 0.40045 0.68136 0.29346 0.58893 1.14894 1.37853 0.020744 12213
SB7_214 0.38244 0.84196 2.19460 0.33240 1.73524 0.88560 0.072681 12214
SB7_215 0.13963 0.75201 0.89179 3.98957 0.68618 1.78799 0.033718 12215
SB7_216 0.11300 0.82417 0.32699 0.41645 0.57360 0.60045 0.051124 12216
SB7_217 0.35906 0.78268 1.49643 2.24266 1.46815 1.20910 0.010285 12217
SB7_218 0.42700 0.94084 0.73373 1.41057 1.37307 0.92589 0.083160 12218
SB7_219 0.29507 0.65264 2.78567 0.94017 0.86502 1.86504 0.042947 12219
SB7_220 0.23917 0.71991 2.86302 0.62069 0.60859 0.70845 0.076644 12220
SB7_221 0.48213 0.88622 0.68361 1.80398 1.95713 1.43370 0.036938 12221
SB7_222 0.30003 0.64048 1.33599 2.92703 1.04204 0.54618 0.068992 12222
SB7_223 0.17126 0.95383 0.38246 0.26867 0.80605 1.10570 0.029911 12223
SB7_224 0.16341 0.87319 0.86454 1.46068 0.85580 0.54182 0.078088 12224
SB7_225 0.30788 0.73323 2.36408 0.54201 1.38801 1.06737 0.038301 12225
SB7_226 0.47735 0.99305 0.27615 0.30426 1.42137 0.83575 0.065124 12226
SB7_227 0.24393 0.60019 1.77189 3.65501 0.59254 1.64587 0.025963 12227
SB7_228 0.29038 0.77042 1.13081 2.77054 0.83255 0.91336 0.054761 12228
SB7_229 0.43170 0.83517 0.45187 0.47670 1.00878 1.81047 0.013841 12229
SB7_230 0.35119 0.68794 3.39928 0.82988 1.97814 0.70440 0.082108 12230
SB7_231 0.12088 0.90603 0.57578 1.12991 0.60206 1.39579 0.041814 12231
SB7_232 0.14425 0.67175 0.35600 0.67417 0.50376 0.95284 0.064282 12232
SB7_233 0.37781 0.93511 1.37437 1.95909 1.67129 1.89244 0.024613 12233
SB7_234 0.40824 0.78859 0.66991 3.19597 1.20671 0.61796 0.071317 12234
SB7_235 0.26382 0.80490 3.05079 0.29341 0.98405 1.22691 0.032273 12235
SB7_236 0.22042 0.97216 2.63488 0.38327 0.69366 0.56483 0.088566 12236
SB7_237 0.45088 0.63397 0.74274 2.06575 1.71634 1.11660 0.047529 12237
SB7_238 0.33128 0.89290 1.45821 1.29228 1.18691 0.73260 0.055915 12238
SB7_239 0.19001 0.70141 0.35037 0.86060 0.70736 1.44778 0.015504 12239
SB7_240 0.18689 0.94963 3.82146 3.67850 1.81486 1.03518 0.058043 12240
SB7_241 0.34066 0.65674 0.53481 0.34522 0.65452 0.51299 0.018376 12241
SB7_242 0.47275 0.81656 1.00445 0.54887 0.76228 1.59676 0.085069 12242
SB7_243 0.20479 0.77663 0.48711 1.62936 1.10487 0.79103 0.046027 12243
SB7_244 0.26070 0.64379 0.25580 1.05174 1.56830 1.75585 0.074812 12244
SB7_245 0.41762 0.96185 1.99732 0.71600 0.53552 0.86478 0.033778 12245
SB7_246 0.39969 0.71463 0.93449 0.44129 0.92092 1.35415 0.062152 12246
SB7_247 0.12863 0.87939 2.09422 2.42970 1.29323 0.66670 0.021743 12247
SB7_248 0.10526 0.74531 1.57419 0.25315 1.06903 1.99605 0.084353 12248
SB7_249 0.37307 0.86160 0.31082 2.97482 0.78757 0.98647 0.044569 12249
SB7_250 0.44107 0.61507 2.43763 1.71811 0.64672 1.29453 0.051380 12250
SB7_251 0.28725 0.97846 0.83845 0.62409 1.83613 0.63955 0.012221 12251
SB7_252 0.22831 0.84879 0.59590 0.97646 1.30579 1.17774 0.068502 12252
SB7_253 0.49922 0.75729 3.28455 1.30056 0.91175 0.58476 0.027585 12253
SB7_254 0.31725 0.91621 0.40079 2.30432 0.55293 1.52756 0.075840 12254
SB7_255 0.16028 0.67805 1.27495 0.38812 1.51840 0.75821 0.035549 12255
SB7_256 0.15955 0.73383 0.58158 0.81519 0.78569 1.76829 0.075637 12256
SB7_257 0.31799 0.87220 3.36504 1.09852 1.07150 0.89546 0.035460 12257
SB7_258 0.49849 0.60154 0.45028 2.76749 1.84045 1.36379 0.068610 12258
SB7_259 0.22904 0.99287 1.13467 0.46072 0.64515 0.69039 0.027808 12259
SB7_260 0.28652 0.83498 1.75884 0.30311 0.90903 1.04901 0.051508 12260
SB7_261 0.44180 0.77178 0.27818 3.52293 1.30981 0.52795 0.012386 12261
SB7_262 0.37234 0.90504 2.36583 1.43096 1.52312 1.61804 0.084170 12262
SB7_263 0.10599 0.68854 0.86386 0.52553 0.55127 0.81405 0.044422 12263
SB7_264 0.12946 0.93532 0.35298 1.24558 0.65252 1.09352 0.061986 12264
SB7_265 0.39886 0.67037 1.44760 0.85733 1.82027 0.55227 0.021614 12265
SB7_266 0.41845 0.80586 0.74222 0.37161 1.10822 1.41839 0.074961 12266
SB7_267 0.25987 0.78801 2.63703 2.02371 0.75991 0.71610 0.033963 12267
SB7_268 0.20562 0.63340 3.02029 3.10717 0.53429 1.84480 0.085158 12268
SB7_269 0.47192 0.97312 0.67670 0.28822 1.57206 0.93604 0.046232 12269
SB7_270 0.34149 0.70003 1.37919 0.65157 1.29637 1.19637 0.057819 12270
SB7_271 0.18606 0.89310 0.35477 1.95694 0.91876 0.60684 0.018267 12271
SB7_272 0.18918 0.65734 2.10448 0.45659 1.66610 0.84984 0.055728 12272
SB7_273 0.33211 0.94864 0.93005 2.43237 0.50529 1.71088 0.015358 12273
SB7_274 0.45004 0.77798 1.98013 1.08180 0.98698 0.65544 0.088692 12274
SB7_275 0.22125 0.81638 0.25806 0.72889 1.20302 1.31908 0.047697 12275
SB7_276 0.26299 0.96167 0.48609 0.56609 1.71232 0.50105 0.071424 12276
SB7_277 0.40907 0.64514 1.00659 1.66320 0.69535 1.01496 0.032500 12277
SB7_278 0.37698 0.87840 0.53804 3.81642 0.70906 0.77284 0.064075 12278
SB7_279 0.14508 0.71522 3.79863 0.34654 1.18417 1.56497 0.024525 12279
SB7_280 0.12162 0.86181 1.27757 2.35219 1.38463 0.57003 0.081883 12280
SB7_281 0.35046 0.74393 0.39991 0.40029 0.85782 1.15691 0.041709 12281
SB7_282 0.43243 0.97942 3.26465 0.98018 0.59391 0.73938 0.054847 12282
SB7_283 0.28964 0.61450 0.59946 1.34933 1.41799 1.50010 0.014047 12283
SB7_284 0.24467 0.75671 0.83440 1.72000 1.00574 0.96615 0.065269 12284
SB7_285 0.47661 0.84976 2.44938 0.64573 0.83514 1.95173 0.026149 12285
SB7_286 0.30861 0.67667 0.31354 0.25771 0.60391 0.62656 0.077921 12286
SB7_287 0.16268 0.91642 1.56050 3.05983 1.97224 1.26530 0.038176 12287
SB7_288 0.17043 0.80958 3.86568 0.51704 1.46470 0.67414 0.068906 12288
SB7_289 0.30086 0.79640 0.50628 1.51884 0.57500 1.33922 0.029706 12289
SB7_290 0.48130 0.93044 1.08429 3.50407 0.86709 0.87412 0.076869 12290
SB7_291 0.24000 0.66392 0.47122 0.31823 1.36991 1.73709 0.037044 12291
SB7_292 0.29424 0.70921 0.26407 0.49973 1.95107 0.79970 0.083327 12292
SB7_293 0.42782 0.89760 1.85275 2.66442 0.61043 1.57943 0.043072 12293
SB7_294 0.35823 0.62616 0.98582 1.17860 0.80847 0.51845 0.050979 12294
SB7_295 0.11383 0.96746 2.07308 0.79345 1.03885 1.02428 0.010099 12295
SB7_296 0.14036 0.60799 1.66292 1.88408 1.21623 0.76665 0.072555 12296
SB7_297 0.38171 0.99775 0.30727 0.70674 0.97632 1.51072 0.033550 12297
SB7_298 0.40118 0.72544 2.51985 0.28053 0.52203 0.59108 0.060520 12298
SB7_299 0.27090 0.86849 0.77671 3.33363 1.61279 1.16514 0.020890 12299
SB7_300 0.21342 0.91070 0.64240 2.14802 1.14616 0.64658 0.059677 12300
SB7_301 0.45787 0.69578 3.18167 0.36561 0.73252 1.28048 0.019227 12301
SB7_302 0.32736 0.83048 0.40487 0.90012 0.68776 0.99696 0.087328 12302
SB7_303 0.19392 0.76261 1.20856 1.23889 1.73109 1.97506 0.046253 12303
SB7_304 0.17830 0.98626 0.89369 0.33007 0.75170 1.41112 0.088792 12304
SB7_305 0.34923 0.61977 2.18999 3.83695 1.12039 0.69675 0.049789 12305
