#Name Omega_m sigma_8 A_SN1 A_AGN1 A_SN2 A_AGN2 seed
LH_352 0.42279 0.67422 1.47116 1.32657 0.57464 0.94744 30352
LH_353 0.15057 0.75672 0.50922 1.00698 0.74275 0.51781 30353
LH_354 0.38042 0.93111 1.33521 0.48644 0.76859 0.87254 30354
LH_355 0.16770 0.88486 3.01938 0.27350 1.90178 0.72789 30355
LH_356 0.38699 0.82818 0.73714 2.68854 0.69832 0.53741 30356
LH_357 0.27187 0.97176 3.64979 0.36708 0.71329 1.02910 30357
LH_358 0.10641 0.91526 0.39365 1.23424 1.43072 0.68039 30358
LH_359 0.29438 0.86010 1.72713 1.66755 0.62427 0.70087 30359
LH_360 0.34315 0.91737 1.51597 1.33355 0.75210 0.53313 30360
LH_361 0.27771 0.77811 0.36839 2.82241 1.75500 1.07239 30361
